Anos;UF;Dívida;PIB;D/P
2015;MG;104167221203.73;617274846.0837964;168.753387351846
2016;MG;110356477286.38;695697798.2303846;158.6270325521927
1996;MS;1883749902.2;7721995.845;243.94598754151494
1997;MS;2120957152.74;8711204.989;243.4746002898819
1998;MS;3004304686.0;9272270.475;324.00960413096664
1999;MS;3569205828.78;10172207.95;350.8781816419709
2000;MS;3923908365.14;11320383.16;346.6232820638908
2001;MS;4495525740.0;13151446.2;341.82748206049007
2002;MS;5456416750.0;15153546.84;360.07522249490734
2003;MS;5661367360.0;19273684.6;293.7356025842614
2004;MS;5998073210.0;21105165.73;284.1992944634413
2005;MS;6021256578.87;21650850.69;278.107159163546
2006;MS;6110239037.51;24341240.22;251.02414594674258
2007;MS;6139204708.28;28121414.94;218.31066187027358
2008;MS;6599581530.11;33142740.44;199.12600595166714
2009;MS;6203825566.73;36368093.69;170.58429346369186
2010;MS;6629741457.29;43514206.73;152.35809073635846
2011;MS;7137611077.25;49242254.33;144.9489097192192
2012;MS;7341590638.34;54471447.34;134.77869593798826
2013;MS;7872186524.07;58535654.38024363;134.48532535286634
2014;MS;8155736451.15;66058120.87859187;123.46304046612855
2015;MS;8457405180.27;74543254.25051771;113.45634511537659
2016;MS;8606875017.12;84210268.85713254;102.20695330782102
1996;MT;2927347561.8;8647560.732;338.5171440273847
1997;MT;3544383216.9;10068521.72;352.02617777140773
1998;MT;3426309400.56;10566971.1;324.24706835433665
1999;MT;4385890796.64;12364904.96;354.7047721618719
2000;MT;5006417341.8;14870532.68;336.6669809033364
2001;MT;5440519665.27;16309976.23;333.5700548271124
2002;MT;6081867138.27;20941063.55;290.4278058155265
2003;MT;5947893238.2;27888663.02;213.2727995578183
2004;MT;6040735810.0;36961116.32;163.43488539958688
2005;MT;5786080782.23;37465931.83;154.4357900527894
2006;MT;5592955017.2;35257620.94;158.63109501114286
2007;MT;5355500736.79;42687110.89;125.45943319027933
2008;MT;5388686682.26;53386479.04;100.93729309667545
2009;MT;4803557980.68;57294192.15;83.840225342631
2010;MT;4912440473.16;59599990.12;82.42351153530694
2011;MT;4574616686.85;71417805.28;64.05428826767778
2012;MT;4493943232.35;80830108.03;55.59739238109243
2013;MT;5568713482.64;83368935.63744336;66.79602468307071
2014;MT;6493240933.6;93438585.47531395;69.4920722586868
2015;MT;7095190508.62;105120504.20618698;67.49578079175923
2016;MT;6776470873.33;119191806.5910325;56.853495782484714
1996;PA;1111113086.4;13355231.68;83.19684098509028
1997;PA;1251366045.69;14311879.81;87.43547754052862
1998;PA;1324825144.09;15091455.23;87.78644099585617
1999;PA;1755732960.64;16503978.55;106.38240684334869
2000;PA;1835869874.76;19050189.09;96.3701654659009
2001;PA;1994968839.99;22321475.27;89.37441705169158
2002;PA;2471078824.19;25659114.89;96.30413343497835
2003;PA;2433853582.42;29754569.99;81.79763926139671
2004;PA;2754543426.1;35562839.3;77.45566665426514
2005;PA;2615690592.37;39121132.85;66.8613202587767
2006;PA;2767350428.93;44369683.58;62.37029894388081
2007;PA;2679993684.97;49507134.2;54.13348456291779
2008;PA;2860413536.53;58518547.42;48.88046034362758
2009;PA;2766355356.9;58401829.65;47.36761456753436
2010;PA;3351646424.59;77847596.51;43.05394867469621
2011;PA;3188620396.3;88370609.61;36.08236279428332
2012;PA;2967156079.36;91009013.79;32.60288136081339
2013;PA;3192353372.81;100327233.15104166;31.819410069885446
2014;PA;3615020381.02;112636549.44417608;32.094558994029235
2015;PA;3854580837.17;126899138.74601959;30.375153647690976
2016;PA;3623028640.02;144019490.32688317;25.15651618955711
1996;PB;1757779520.6;6434187.13;273.1937205251909
1997;PB;1946653261.04;7205361.826;270.1673154033222
1998;PB;1908978477.14;7646868.386;249.64186393412842
1999;PB;2262468022.74;8397432.445;269.42378370511557
2000;PB;2328298106.78;9337554.266;249.34774572157758
2001;PB;2452972047.84;10848553.1;226.1105260055371
2002;PB;2890566929.46;12433904.08;232.47460418401425
2003;PB;2733183059.77;14157836.77;193.05089500406777
2004;PB;2659291297.33;15022396.08;177.02178022522222
